OBJECTID,Authority,BranchName,Address1,Address2,Address3,Telephone,Email,URL
1,Wicklow Town Library,Wicklow Library,Kilmantin Hill,Wicklow, ,0404 67025,Wicklib@wicklowcoco.ie,http://www.wicklow.ie/library-services
2,Wicklow County Library,Wicklow Family History Centre,"Wicklow County Archives, Wicklow County Council, Station Road,",Wicklow,Wicklow,0404 20126,wfh@eircom.net,http://www.wicklow.ie/library-services
3,Wicklow County Library,Bray Library,Eglington Road,Bray,Wicklow,01 2862600, braylib@wicklowcoco.ie,http://www.wicklow.ie/library-services
4,Wicklow County Library,Ballywaltrim Library,Boghall Road,Bray,Wicklow,01 2723205,ballywaltrimlibrary@wicklowcoco.ie ,http://www.wicklow.ie/library-services
5,Wicklow County Library,Enniskerry Library,Enniskerry,Wicklow, ,01 2864339,smmulligan@wicklowcoco.ie,http://www.wicklow.ie/library-services
6,Wicklow County Library,Blessington Library,New Town Centre,Blessington,Wicklow,045 891701,blessingtonlib@wicklowcoco.ie,http://www.wicklow.ie/library-services
7,Wicklow County Library,Dunlavin Library,Market House,Dunlavin,Wicklow,045 401100,mgreene@wicklowcoco.ie,http://www.wicklow.ie/library-services
8,Wicklow County Library,Baltinglass Library,Baltinglass,Wicklow, ,059 6482300,mconsidine@wicklowcoco.ie,http://www.wicklow.ie/library-services
9,Wicklow County Library,Tinahely Library,"Market House, Dwyer Square",Tinahely,Wicklow,0402 38080,MCarty@wicklowcoco.ie,http://www.wicklow.ie/library-services
10,Wicklow County Library,Aughrim Library,Aughrim,County Wicklow, ,0402 36036,cagnew@wicklowcoco.ie,http://www.wicklow.ie/library-services
12,Wicklow County Library,Arklow Library,Main Street,Arklow,Wicklow,0402 39977,arklowlibrary@wicklowcoco.ie,http://www.wicklow.ie/library-services
13,Wicklow County Library,Carnew Library,Carnew,Wicklow, ,053 942 6088,MHenness@wicklowcoco.ie,http://www.wicklow.ie/library-services
14,Wicklow County Library,Greystones Library,Mill Road,Greystones,Wicklow,01 287 3548,greylib@wicklowcoco.ie,http://www.wicklow.ie/library-services
