"col_0","col_1","col_2","col_3","col_4"
"NghCK","Domab",111,107,76.3597656680873
"cunkE","VnYAO",117,90,73.9619055487015
"TgBBt","cLKvZ",91,84,88.8442228439173
"YBTrE","CQSzd",93,112,52.0771079661412
"WlVXR","dJtgz",111,62,67.6110338702614
"zibql","hIMKc",112,151,77.361976368679
"pBtbB","PSXeD",125,137,86.2636228172972
"lAueM","LuAyd",115,102,84.7821003472482
"sicmO","ltrSK",106,144,62.6288174900253
"kivwU","mmLJz",101,109,40.1209391126496
"lIiIW","yOZyw",119,58,83.2196646558481
"UjSHH","sFtrw",108,115,90.1985822893937
"FfscM","UZZtG",38,23,37.768349136659
"AKWjB","YytHt",43,38,32.222597869413
"QzLPE","eOUZG",31,42,28.8710554941361
"ksnBt","uULMn",43,51,43.069559244099
"KBcuC","zYlTj",32,24,26.5558291976381
"kKbpM","WqTNd",36,37,22.5449873826985
"RtwMg","IuZCi",30,42,30.8117129657335
"mmAWg","cTHGt",34,52,50.1739026814454
"QElYy","NTXLF",39,31,16.6701530630403
"TPDGz","HQpJU",35,27,38.9636729812256
"XyeEr","EvPaU",42,58,37.2561731523421
"dPTot","KMwDH",28,38,34.673261182342
"bLsax","MOfjf",34,44,27.3180431611879
"XNxkw","koNhv",36,43,34.8695184504896
"GQRoU","KkNEh",37,45,25.1688331692822
"PNoqt","Kfpxp",47,24,20.2734521055379
"sFfcc","reSkT",34,45,22.4853655243353
"bPqbb","XaPdK",40,24,32.9585637166014
"kqovf","CnJMT",36,41,31.5830053365992
"ubpUh","ghFkG",38,25,37.7360742810934
"HOLuQ","mSUCP",35,27,29.8988231238125
"OBdXn","LOTTW",35,20,24.1662278562277
"UjlYM","SOxJv",38,27,25.6804136830906
"Mtubu","qBnPN",32,40,43.0851945233092
"nJXJu","MBYNr",32,38,34.0999887545076
"vsNsQ","jJjKK",30,49,22.3551096246617
"rPjvM","zipdi",37,48,27.2697852250384
"JyXxy","GndhP",40,50,24.7421950750368
"ZWZKu","dIQza",39,41,22.2994539374413
"BEcTe","WMCwb",43,37,35.1952643083517
"MZLxu","gsivX",35,41,38.8707015363994
"BKsky","GRApQ",38,54,35.1128425549687
"bcnYM","ZKvFO",39,37,28.7699681004068
"wBkOS","jWFcQ",39,41,23.2141400175588
"yHkcl","YakpL",31,35,22.1938647081875
"yADXG","PLmvx",37,49,43.0649976382887
"AAFSG","BYrfU",29,40,29.6198169671265
"xdZxq","WygOw",38,15,15.803036981736
"DIYqd","llQVq",38,35,23.3639166081683
"CzoXz","xGNSX",39,48,33.3184734552009
"SVFMm","TkyGR",39,44,24.0689389491343
"xLxUH","BxyFJ",41,33,14.1079781723222
"yFerw","CLBBv",36,33,21.9286036094214
"XjInu","xjHCM",35,16,28.5647112020163
"UkBLj","ESqoE",38,42,29.76678531372
"NBnUK","qyZMt",31,29,22.6162198790619
"XgTOC","TKMde",44,54,31.7512178642813
"krIbp","kQVHR",36,38,32.6364430875309
"cKOeG","YvxVn",38,31,39.138565786779
"HSMVu","lZokr",42,41,19.6332898622741
"GDGOc","Gyvqv",37,50,38.0483607683273
"UpwQP","HklzG",39,34,30.88393636253
"TmcWT","WddAv",30,32,29.0870902875817
"dHGIn","rAQwR",39,31,34.1528886310559
"kiiXH","tPDwK",34,39,34.7100981067974
"PXIsk","eSFWN",31,35,35.3068648615815
"nwtCX","KwRIE",39,42,28.432616963248
"mtJUx","awbDP",41,35,30.2645201887155
"eLDcq","yUEJZ",35,30,35.7559666372989
"PXzoT","XVsCx",42,31,31.0069240663745
"oDAyq","fqkjG",39,41,29.3381337346083
"OmQgl","DofUq",36,35,15.4260295641638
"KeddU","RDujz",40,55,18.0539649524572
"GdHnh","Vqcdi",41,60,32.2771822613766
"AsFOM","MezwV",39,51,34.2853965992904
"Ggfkw","XAjbg",37,41,48.2652930472614
"cPxMm","cwzqu",33,56,19.5126813083796
"wJoqL","sTxoR",31,24,15.1126115279625
"mfzTU","EmkBs",35,50,12.7783336478505
"gQlIp","EjasQ",38,45,22.332144991181
"iMDLt","jCBIc",33,36,28.3643602745988
"VTXat","qaVJc",43,42,33.7834020570977
"rHDML","aUjCD",36,37,27.775455081863
"WJbug","uVXFb",36,41,23.8919750647171
"ioQHq","wyjOz",39,30,13.9231117237956
"cCjGN","xpXdq",35,36,31.348703332879
"wYgiK","RiVkn",38,52,29.2524071308195
"SsAMQ","NOTIf",40,40,28.8118627298995
"IzCoa","wEZcf",31,23,19.7009261413812
"EoTKt","ByiqA",33,37,37.1029688945014
"yEisZ","IzBvU",38,31,22.4301224636444
"Abrqz","LEJQd",38,26,30.0201898497899
"dWFUw","IVsZq",36,30,32.2574127891787
"FtfqZ","bxJlj",40,38,28.3284265529959
"sqvmL","QBklc",43,32,37.5053630458964
"DlDPS","gOKOe",42,30,36.3630880108457
"IqoqH","pgPJS",42,42,25.5212506339041
20,"RpsfB",34,35,29.2242395447894
"GSPys","SvqZu",34,46,22.7748725790793
"btmwY","rpUvH",42,44,31.0204648348361
"HtyRU","cucbC",37,31.0204648348361,35.407086468732
"OknqV","FUlGG",35,36,36
"nyQUf","ifISQ",40,24,30.6234436914487
"nMBVU","FtolZ",40,38,27.6140982218944
"sVzxz","usejx",36,55,26.2779057854358
"NvXXZ","zqIpi",46,47,20.2040892644898
"qcfso","XWBkr",43,36,29.3375293663538
"PHPaZ","BbKhH",40,48,27.7712950138706
"OCZzb","fjQzv",41,49,30.2816648911362
"CAskl","BXezg",42,46,33.831582381074
"ZQstn","gkwKS",35,37,42.3272607495772
"SRDZQ","NIqEE",43,33,29.6034752917418
"pgFSn","mPEvD",44,41,30.8756425762314
"uIMLY","jLBVZ",27,45,26.1973199648008
"vnUTX","Uxihr",35,34,23.1515674959481
"ICbur","ABagz",31,39,34.7195533772688
"iCJlO","aUBIb",39,38,27.3345204839701
"PsMqA","gLceE",34,43,30.5326226278771
"tfCrc","QoFzJ",38,25,40.4042631026863
"tTeGG","jwZij",35,52,16.0278128786903
"VxieO","HIZSh",35,24,36.0489837923591
"RqEbw","FFRvc",39,45,22.8508445723043
"oimie","GbiNF",37,41,35.908449644105
"LuYqj","QsqYW",37,31,24.1583352875916
"FOlbr","EgdmW",35,29,29.9381744697731
"rlwQA","mpknc",40,18,38.4603738770466
"GDKDB","tTDDB",38,18,32.9401403652052
"oITsu","wdzVF",33,51,50.6872669350325
"nUPvc","wEKeP",32,31,17.2968285617174
"EvPIm","OsuPo",45,45,39.1010850119847
"XLwZc","pVLlE",34,22,20.6245997859524
"RCxVB","bgbcd",40,56,25.6317060010302
"dGLeh","PAqBg",33,30,18.0597471926949
"Chmmc","wZDSr",35,29,26.9669531728709
"VnMYq","XRyAl",40,45,30.5199838498055
"SXBUE","HwZHt",31,41,26.942227572107
"sZFVS","sXoIb",38,46,25.9179075644987
"gyliG","rFEne",38,41,33.4179702805598
"eRbcW","AJoZd",38,48,38.689190307347
"yyLsJ","zgKTy",40,42,40.7692956516272
"NdbiT","YgHcY",33,46,29.5355190893125
"vlaAr","tRzqx",44,31,22.4845543928987
"dcUtT","KceSC",39,45,39.3326906048358
"wmtZp","KJjSf",31,22,21.5954052893191
"YgxpI","wFhzg",38,31,25.5999041510214
"trAdP","fSDZX",37,42,38.8174138115594
"grZjY","kBFdh",43,30,14.6827745856544
"tNnLe","RINVT",37,33,32.3729445863426
"cJuEs","HCHwN",37,36,30.8144239852136
"tQixy","PzTKO",35,38,37.9556025540138
"jVohh","iEDDg",37,25,31.5037776137504
"cpffj","iVxzs",43,35,29.5606523568598
"NoNry","wxKgq",36,45,31.5748644404249
"qZerJ","JVkIU",40,35,22.5317235442822
"PkvBC","lOyIr",44,42,15.2258255307485
"jozdK","fVbNB",44,26,33.8378226136401
"ODVNQ","mbMXE",34,35,28.3731688843137
"smLxU","sTgyp",41,42,18.288934875209
"GXnYx","yQvFx",39,45,18.1378168106772
"ANsXD","VLukj",29,29,25.4899924902877
"amGLz","KRUiI",34,25,27.0491161224497
"mnpWc","KVqWC",43,39,25.5682471720054
"KzdvP","cjhSO",32,45,29.319432861002
"fsloq","gZUII",35,35,14.8543928904531
"lmamo","RmjQo",31,40,30.9878082446826
"szoNO","BXgRc",34,55,25.0245569232766
"DZCQW","zaxML",44,50,20.5068725215691
"idBQJ","DDAAA",41,48,39.9142440181233
"UHTaz","EVVqs",36,31,25.1496566737338
"VValr","nxqsH",35,28,45.9114619412001
"qqoVe","RjzLM",37,37,28.2913160605671
"vkHST","nfQAK",40,26,32.1362672581696
"xuBnP","pjeAl",39,33,31.46178625483
"LdONj","aYRgU",42,41,36.6598790216406
"iivkW","rDfql",35,35,29.7358046780545
"uXDQr","ABuCa",41,30,29.0314111875351
"iegQc","pyDPc",37,32,37.9717674459265
"CAfKX","TRQlf",45,25,28.5743737036799
"EEoXa","pDcAR",31,46,52.2106564032348
"yFwfa","KHSED",40,43,21.3183410223909
"BUyEN","zvUMY",34,37,20.1606538651758
"PgPOY","QgarH",42,33,24.7537150043362
"jSXBD","iHWOE",29,37,44.1143594745948
"yXOyZ","GsPtn",32,34,25.9171443565823
"mpLNi","YCFoO",45,41,14.4455325263213
"sLsvt","YiVSm",44,34,29.1122040629385
"usvGh","ofjfw",39,35,15.2766193250572
"wGsqQ","FxIAG",37,41,16.3040887554024
"qECEA","zcpnA",41,33,21.0935070068921
"OpPzv","PGuBC",39,50,41.2460583577579
"YkJLK","JPZIj",36,28,26.8493415465004
"FlWMd","GQvOt",34,39,31.6462382472531
"NbZUX","anXDn",36,47,23.8106603976079
"pfTDX","wvpzO",40,33,25.2823774450124
"skZCZ","fJKhu",36,52,19.5034074217712
"rRhQc","zhlbm",42,25,18.542824164111
"AQDFN","cFbGp",38,24,23.7744024916865
"Grcac","ryZqw",35,49,38.9220776002955
"whwkd","HrpsK",35,51,24.6954355253935
"eYeDx","BcMeR",42,11,27.8591653705249
"xchtC","NQXIC",42,36,17.3835504612631
"PizqE","DMgTM",42,33,22.5430526078144
"sQonJ","UofPh",37,48,23.936244676824
"QUnGz","VcTsL",40,42,39.2545829439858
"OGpci","TSYVS",37,20,26.5625889836478
"Oyaig","iaGAu",36,47,13.5260738146226
"FMHyb","uAteR",37,34,22.3779109841665
"lVXLG","JsUkY",37,31,35.5203646815702
"gDrzP","hgQES",31,38,34.2298943684641
"lsakV","WQTBN",35,42,29.5082887824595
"pEwCc","YjJtj",41,34,20.6218606728849
"dCeni","NcyWy",34,51,19.898649400747
"pARxx","GbNNi",40,31,25.4332536587157
"BzfQk","OmkaV",37,42,27.1846103197783
"ggfgc","dzcOR",36,40,37.8559317466969
"kYwGn","sCwvO",35,29,12.3330068241656
"vXUtx","mmUBq",38,41,23.5053733592156
"FecMl","YFIUh",39,36,36.7884963315187
"BPmnY","lSsEt",34,35,23.1733879337844
"ukyhH","cOGEr",35,42,33.4523396120887
"JYVfX","ViCak",34,64,27.0374726533597
"pOPBj","NqAGR",44,41,34.86902554761
"EGmwL","HjByG",32,39,29.1705609180365
"fuLSw","cXbna",37,49,28.6339366091731
"YgQPL","MYvjq",36,46,29.9776700908118
"WggaT","YQNoa",36,33,44.5797002546138
"Ilxpt","xqzlG",39,41,32.4901821188095
"PXSDv","UYXRe",39,47,23.6201577740035
"mZIUS","MURuc",43,31,18.1912948956937
"BjUtI","vJGvP",35,34,35.7161657620817
"qByXI","dOvTQ",38,44,25.8013979693287
"zuNQe","KGpFg",33,50,20.0003498502095
"fjdFi","zjJtF",30,51,30.8431240018562
"SBXjg","BbylG",36,39,9.05469068244168
"CRWoW","UgjHg",35,37,42.378879697807
"COnDk","fWxNn",31,50,41.3063221392695
"UPczY","qzTQX",36,27,22.1138536808004
"hORix","ogBua",35,36,16.8053673223731
"GraTr","uYagJ",35,42,32.9053528425296
"KgoTM","QUbKu",41,41,14.8549233094789
"nNgFE","jQeqe",41,40,24.0562774498371
"vkXPh","sbNAr",41,36,21.3763668056523
"ppOvL","VVeyk",43,40,30.2850601361324
"MDLho","rkyjL",37,23,24.7663274993087
"LMPKB","uHxhh",35,38,28.6568498886179
"qMeSZ","eMAyV",36,34,25.890780243779
"zjNmb","lRAmk",34,35,15.334691336267
"GINEY","WNBgi",36,37,27.5091336315323
