col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
RjIBK,WTPer,OscSA,50,156,125,141,84.8184075470937,30.890684422231065,RaCSB,89,11.132349723920832
BUFXs,lEQPP,cIozF,35,168,129,128,64.37325833458088,24.82991176892471,IgWMv,105,38.95971886090659
qmtyM,RENBH,wxbhj,118,121,136,118,32.3068005160374,15.032108222791114,rqloc,123,-5.756026340742764
dkLnI,mLBIP,Sjjbj,114,136,123,139,64.20805391140108,29.138379557483397,ZWdNE,110,18.214695820798806
QaQdv,Xjsqi,OFBaX,118,117,120,130,67.15749354808506,30.188742971702336,uafXN,96,7.117421348633848
YEMkq,AcHkw,eDRqN,122,133,131,124,89.94912553019688,41.70452497236093,gvbPQ,112,15.529359258427949
SvcHI,qIVEm,Uauot,125,177,126,115,48.79292235694445,31.69537589051307,wojkX,106,75.9940854468642
qMRgA,sliuV,QeDiU,89,105,136,136,34.287464306818144,26.72909496586673,aLHXU,65,-6.80496538325086
jtdHB,CGYUt,tJfBM,92,126,118,137,60.01735286737149,22.678764954125484,aSeIv,91,23.245058298364448
RrOSK,YOPHR,mNJTN,118,116,118,128,73.08529435278243,41.42083240723886,ZJeqJ,135,-15.35420522645257
ggQDq,FzEPy,dohon,129,134,135,129,78.85687866069662,43.13176513131795,QEoOZ,100,80.35285976130622
oIImT,LFZhm,JATan,106,140,161,109,29.928418977286455,5.7575595030720095,nSLET,106,-5.099403875294829
tTsmR,reHNm,MDGij,54,126,135,133,125.21899231403205,34.47022452080002,eulBF,80,-37.50912314836049
ybmCH,PGFyA,lOasM,88,140,131,124,107.83595875904533,22.983262771813436,KGxkC,93,19.04620130274735
nVbOT,VKBQz,Gbvax,128,157,119,129,71.47143285110388,19.598908205915986,IRyBP,107,73.96505403614107
aCJFe,QlLGN,hBhve,34,127,143,130,81.65010924127886,40.81860818040016,BPQKf,83,3.6665374727309814
ZOrqB,TnFaI,lIIvG,94,131,147,128,51.336215194654294,22.179561247538004,Sniro,126,53.456207475403886
BAnpU,hPLpF,mrZdT,62,126,123,119,27.94159298780334,26.875004924578384,IGdqk,120,21.389125497061617
RlAAP,isVkV,MaBal,118,146,133,144,42.00249722053707,39.3181160830606,uOkSZ,109,-50.48090728606017
rNbpE,IDxks,ZlWuS,106,138,144,121,46.80892534263856,54.15112616859271,RyTPF,101,29.208200121756764
WcvPB,UNGeU,kNnch,122,96,123,118,48.308330119281266,26.740789157882823,UmodQ,88,43.93769945364022
uUQme,OrmBx,PTNBs,72,122,139,130,61.18384203973631,19.34895209177636,MeMAH,95,4.694301456182837
